n,case,ref,lane,reference_claim,finding_id,finding_title,finding_description,verdict,note
39,09-cookbook-sokify-retail,3,tampering,"An attacker on the network path alters order details in flight between the app and the web API, because that traffic runs over plain HTTP.",T-01,On-path attacker can alter customer orders sent to the Web API,"An attacker positioned between `process:mobile-app` and `process:web-api` can rewrite order details and customer data on `flow:process:mobile-app>process:web-api>api-traffic`, which crosses from the customer-device zone to Sokify systems over HTTP with transport encryption stated absent. The altered request reaches the internet-facing `process:web-api` as though it came from the mobile app. Second-order, the API can persist corrupted customer records through `flow:process:web-api>store:user-database>customer-records` and hand altered orders to `process:sims` through `flow:process:web-api>process:sims>order-handover`, affecting delivery processing and business records.",same,Both describe modifying app-to-API order traffic in transit over plain HTTP.
40,09-cookbook-sokify-retail,5,tampering,"An attacker appends further SQL to the statements the macros send so the web API executes changes beyond prices and product copy, if the API passes what it receives to the database without restricting it to those statements; the source says only that the macros speak SQL to it.",T-02,Raw SQL submission can alter catalogue data if API caller authentication is absent,"`process:web-api` receives `flow:process:catalogue-spreadsheet>process:web-api>sql-statements`, whose payload is SQL statements intended to change prices and product copy, while the flow's `authentication` is unknown. If that unknown resolves to the API accepting this SQL-writing interface without verified caller identity, an internet attacker can submit crafted SQL statements to the internet-facing `process:web-api` and inject unauthorized catalogue modifications. The altered prices or product copy become business data acted on by the customer-facing ordering path; this is conditional on the unresolved authentication state, not an assertion that authentication is absent.",different,The reference concerns extending accepted SQL beyond permitted catalogue operations; the draft concerns unauthenticated callers performing catalogue modifications. Missing statement restrictions and missing caller authentication are different failures.
41,09-cookbook-sokify-retail,10,information-disclosure,An attacker on the network path reads customer details out of the app's plain-HTTP traffic to the web API.,I-01,Customer order details are readable over plaintext HTTP,"An on-path attacker between `process:mobile-app` in `boundary:customer-device` and the internet-facing `process:web-api` can intercept `flow:process:mobile-app>process:web-api>api-traffic`, which carries customer order details, because transport encryption is stated absent. The flow crosses into `boundary:sokify-internal-systems`, exposing customer PII to network observers before the Web API processes it. The captured identity and order information can enable targeted fraud or social-engineering against the affected customer.",same,Both describe an on-path attacker reading customer details from the app's plain-HTTP API traffic.
42,09-cookbook-sokify-retail,11,information-disclosure,"An attacker who reaches the user database reads customers' names, addresses and the cards they paid with, since at-rest protection is unverified.",I-03,A storage-layer copy may disclose all user database records,"`store:user-database` is confidential and holds customer names, addresses, and the card used for payment, while its `encryption_at_rest` attribute is unknown. If encryption at rest is not enabled, an attacker who obtains a database volume, snapshot, backup, or other storage-layer copy can read the full customer corpus without using `process:web-api` or its normal access path. The disclosure includes financial and PII records and can enable broad customer targeting and payment-related fraud. This threat is conditional on the unresolved at-rest encryption state, not an assertion that the database is unencrypted.",same,"Both describe disclosure of customer names, addresses and payment-card data from database storage if protection at rest is absent."
43,09-cookbook-sokify-retail,13,information-disclosure,"The confirmation fax discloses a customer's name and address to whoever holds the dialled number, because nobody checks it arrived at the right place.",I-05,Misaddressed fax confirmations can disclose customer names and addresses,"An unintended fax recipient can read the confirmation sent through `flow:process:fax-gateway>entity:customer>confirmation-fax` when `process:fax-gateway` dials the number stored against an order but does not verify the confirmation arrived at the intended recipient. The flow carries the customer's name and address across a boundary to the customer device zone, so an incorrect, stale, or attacker-controlled destination number delivers that PII to another party. The disclosed address and identity can enable targeted fraud or physical-world targeting of the customer.",same,Both describe customer names and addresses reaching an unintended fax recipient because the destination is not verified.
44,10-cookbook-generic-cms,1,spoofing,"An attacker publishes assets into the CDN bucket as if they came from the web server, if the push accepts a writer it does not authenticate, which the source leaves unverified.",S-02,An attacker could publish to the CDN as the web server if caller authentication is absent,"`flow:process:web-server>store:cdn-bucket>asset-publish` crosses from the hosted network to the CDN, but its `authentication` and transport details are unknown. If the CDN bucket does not verify a distinct web-server workload identity, an attacker who can reach that publishing interface could impersonate `process:web-server` and upload assets as though they were a genuine CMS publication. Second-order: `entity:reader` consumes assets from the CDN, so content published under the false web-server identity can be distributed to public readers. This draft is conditional on the unknown authentication state; it does not assert that bucket authentication is absent.",same,Both describe impersonating the web server to publish CDN assets if the bucket does not authenticate the publishing workload.
45,10-cookbook-generic-cms,3,tampering,"An attacker on the network path rewrites a stylesheet or script in flight before it reaches the reader, because assets are fetched over plain HTTP.",T-01,On-path attacker can alter CDN assets delivered over HTTP,"An attacker positioned between `entity:reader` and `entity:cdn` can alter images, stylesheets, or downloads on `flow:entity:reader>entity:cdn>asset-fetch` because the boundary-crossing flow uses HTTP with transport encryption stated absent. Readers receive attacker-modified site assets as CDN content. This compromises the integrity of content distributed to the public rather than merely observing it.",same,Both describe an on-path attacker modifying CDN assets before readers receive them over HTTP.
46,10-cookbook-generic-cms,5,tampering,"An attacker on the network path modifies the admin's statements in flight, because the connection carries no TLS.",T-02,On-path modification of direct MySQL administration traffic,"An attacker able to occupy the network path from `entity:admin` to `store:mysql-database` can alter direct maintenance commands or returned results on `flow:entity:admin>store:mysql-database>direct-administration`. This is a public-internet-to-hosted-network boundary crossing with no TLS, so modified MySQL writes can rewrite pages, accounts, or comments outside the CMS. Second-order, `process:web-server` subsequently reads the altered CMS data through `flow:process:web-server>store:mysql-database>cms-data` and serves or administers the corrupted records as database state.",same,Both describe modifying direct MySQL administration commands in transit because the connection lacks TLS.
47,10-cookbook-generic-cms,9,information-disclosure,An attacker sniffing the admin's unsecured MySQL connection reads account and comment records in clear text.,I-01,Database maintenance traffic is readable on the public-network path,"An attacker able to observe the path used by `entity:admin` can intercept the unencrypted `flow:entity:admin>store:mysql-database>direct-administration` from `boundary:public-internet` to `store:mysql-database`. The flow performs direct read-write MySQL maintenance against pages, accounts, and comments, so captured sessions disclose the PII and business-critical CMS data being queried without requiring the attacker to authenticate to the database. Second-order, the disclosed account and content data can be used to target readers of `process:web-server` and understand the CMS records served through its database read path.",same,Both describe reading account and comment data from the administrator's unencrypted MySQL traffic.
48,11-sparse-shift-scheduling,0,spoofing,"An attacker signs in to the scheduling web app as a colleague and reads that colleague's shifts and details, if colleague authentication does not stop them, which is unverified.",S-01,Unauthenticated access could let an attacker impersonate a colleague to view shifts,"`flow:entity:colleague>process:scheduling-web-app>view-shifts` is a decided crossing from the inferred `boundary:public-internet` placement to `boundary:internal-network`, but its `authentication` is unknown. If that attribute resolves to no verified caller identity, an attacker able to initiate the flow can impersonate `entity:colleague` to `process:scheduling-web-app` and obtain the colleague's shift information. This is conditional on the undocumented authentication control, not an assertion that it is absent. Second-order: the web app requests rota data from `process:scheduling-service`, which reads the rota records in `store:rota-database`, so the impersonation reaches the rota information used to answer the request.",same,Both describe impersonating a colleague to retrieve that colleague's shift information if the scheduling app does not verify caller identity.
49,11-sparse-shift-scheduling,1,spoofing,"An attacker signs in as a store manager and builds that store's rota, if manager authentication does not stop them, which is unverified.",S-02,Unverified manager identity could let an attacker alter a store rota,"`flow:entity:store-manager>process:scheduling-web-app>build-rota` crosses from the inferred `boundary:public-internet` placement into `boundary:internal-network`, while its `authentication` is unknown. If no verified identity and session binding are actually enforced, an attacker can impersonate `entity:store-manager` to `process:scheduling-web-app` and submit rota changes as that manager. This is conditional on the unknown authentication attribute. Second-order: the app sends rota reads and writes to `process:scheduling-service`, which writes rota and colleague-detail records in `store:rota-database`; the spoofed manager identity therefore reaches business-critical scheduling data rather than only the web tier.",same,Both describe impersonating a store manager to create or change the store's rota if manager authentication fails.
50,11-sparse-shift-scheduling,2,spoofing,"An attacker presents itself to the file share as the payroll system and collects the weekly payroll export, if the share does not identify and authorize a collector, which is unverified.",S-03,Unverified payroll-system identity could expose the weekly payroll export,"`flow:entity:payroll-system>store:file-share>collect-payroll-export` is a decided crossing from the payroll team's inferred trust-zone placement into `boundary:internal-network`, but its `authentication` is unknown. If the file share does not verify the caller, an attacker with access to the payroll-system side of that path can impersonate `entity:payroll-system` to `store:file-share` and collect the weekly payroll export. This is conditional on the undocumented authentication control; it does not assert that the share is unauthenticated. The exported data is tagged `pii`, so the successful impersonation exposes payroll information beyond the purported external collector.",same,Both describe impersonating the payroll system to collect the weekly export if the file share does not verify the collector.
51,11-sparse-shift-scheduling,9,information-disclosure,"An attacker reads colleague names, contact details and availability from the rota database, because whether it is encrypted at rest is unverified.",I-05,Rota database copies may disclose colleague data if storage encryption is absent,"`store:rota-database` holds rota entries, colleague names, contact details, and availability, is tagged `pii`, and has `encryption_at_rest: unknown`. If that unknown resolves to unencrypted storage, an attacker who obtains an operational copy of the database media, such as a storage-layer snapshot or decommissioned volume, can read its contents without using `process:scheduling-service` or its normal database flow. This is conditional on the unresolved at-rest control; it does not claim the database is currently unencrypted. The data reveals when and how to target colleagues and provides the personal context used by the scheduling workflow.",same,"Both describe reading colleague names, contact details and availability from rota-database storage if encryption at rest is absent."
52,11-sparse-shift-scheduling,10,information-disclosure,An attacker with access to the file share reads a whole store's payroll export in one file.,I-06,File-share copies may disclose payroll exports if storage encryption is absent,"`store:file-share` holds the PII-bearing weekly payroll export and has `encryption_at_rest: unknown`. If the share or its operational copies are not encrypted at rest, an attacker who gains storage-layer access can read exported payroll data directly without authenticating as `entity:payroll-system`. This is a conditional finding about the unresolved attribute, not a claim that encryption is absent. The copied export can then be used to target people and workflows associated with the payroll collection path.",same,The reference leaves the access mechanism unspecified; reading an unencrypted file-share storage copy is a specific route to the same payroll-export disclosure.
53,12-overclaiming-supplier-portal,1,spoofing,"An attacker signs in to the portal as a category manager and approves supplier paperwork, if manager sign-in does not stop them; the vendor's datasheet asserts that all access is fully authenticated and the source records nothing about how a manager signs in.",S-02,Category-manager approvals can be forged if boundary authentication is absent,"`flow:entity:category-manager>process:supplier-portal>review-documents` crosses from `boundary:corporate-network` into `boundary:vendor-platform`, but its `authentication` is unknown. If that unknown resolves to no verified caller identity, an attacker who obtains a foothold on the corporate network can impersonate `entity:category-manager` to `process:supplier-portal` and submit approvals or rejections as that manager. Second-order: those decisions govern documents containing supplier-staff PII and business-critical compliance information held in `store:document-store`. This is conditional on the unverified authentication attribute; it does not assert that authentication is absent.",same,Both describe impersonating a category manager to approve supplier paperwork if manager authentication is ineffective; neither establishes that authentication is actually absent.
54,12-overclaiming-supplier-portal,2,spoofing,"An attacker writes a file into the landing bucket while posing as the vendor's nightly push, if the bucket does not authenticate and authorize the writer, which is unverified.",S-03,Forged nightly extracts can impersonate the portal vendor if sender verification is absent,"`flow:entity:portal-vendor>store:landing-bucket>push-nightly-extract` is an externally initiated, decided boundary crossing into `boundary:cloud-account` whose `authentication` is unknown. If the landing-bucket ingestion path does not verify a signature, mutually authenticated channel, or equivalent vendor identity, an attacker who discovers the delivery interface can forge a nightly extract as `entity:portal-vendor` and plant it in `store:landing-bucket`. The vendor endpoint's placement in `boundary:vendor-platform` was inferred, but the external-system-originated delivery remains the stated flow. Second-order: `process:supplier-master-service` loads the file as-is and writes its records to `store:supplier-database`, so the forgery can propagate across the supplier-record corpus containing PII and business-critical data. This draft is conditional on the unknown authentication attribute.",same,Both describe delivering a forged nightly extract as the portal vendor if the landing-bucket ingestion path does not verify vendor identity.
55,12-overclaiming-supplier-portal,8,information-disclosure,"An attacker who obtains a read grant on the landing bucket reads the whole supplier extract, which the runbook says arrives as a plain CSV; nothing records who holds that grant or how the bucket is protected at rest.",I-05,Cloud-resident supplier extracts and records may be exposed from unencrypted storage,"`store:landing-bucket` contains the nightly supplier extract and `store:supplier-database` holds the loaded supplier records; both are tagged `pii` and `business-critical-data` and have `encryption_at_rest: unknown`. If either store is unencrypted at rest, an attacker or over-privileged insider with access to its backing storage can read the extract or supplier corpus directly, bypassing `process:supplier-master-service` and its normal read and write paths. This is conditional on the unresolved controls, not an assertion that either cloud store is unencrypted. Second-order, a landing-bucket copy exposes the same records that `process:supplier-master-service` loads into `store:supplier-database`, so one storage-layer disclosure can reveal the end-to-end supplier dataset before or after processing.",different,The reference reads the extract using a bucket read grant; the draft bypasses normal access through backing-storage exposure. A read grant and absent storage encryption are different disclosure mechanisms.
56,13-dispatch-control-plane,0,spoofing,An attacker who holds the importer's never-rotated API token posts work orders to the dispatch API as the importer.,S-01,Long-lived importer API token can be used to post work orders as the importer,"An attacker who obtains the API token assigned to `process:schedule-importer` can present it on `flow:process:schedule-importer>process:dispatch-api>post-work-orders` and act as the importer to `process:dispatch-api`. The token was issued when the importer was built and has never been rotated; this establishes long-lived credential exposure, although its expiry, channel binding, and distribution are not stated. Second-order: accepted work orders can move crews or change a depot's work through `process:dispatch-api`, which reads and writes `store:dispatch-database` containing crew PII and job orders.",same,Both describe presenting the importer's compromised API token to post work orders as the importer.
57,13-dispatch-control-plane,1,spoofing,"An attacker opens a WebSocket to the dispatch API in a duty engineer's name, because nothing states what the handshake checks.",S-02,Unauthenticated cross-origin dispatch requests could impersonate the console,"`flow:process:dispatch-console>process:dispatch-api>dispatch-requests` crosses from `boundary:corporate-network` into `boundary:production-control-plane` with `authentication: unknown`. If the dispatch API does not verify a caller identity on this flow, an attacker with a foothold on the corporate network could send requests that `process:dispatch-api` accepts as originating from `process:dispatch-console`, then move crews or change a depot's work. This is conditional on the unknown authentication attribute, not an assertion that authentication is absent. Second-order: accepted dispatch actions reach `store:dispatch-database` through the API's read-write job-order flow, affecting business-critical work orders and crew PII.",different,The reference concerns impersonating a duty engineer during a WebSocket handshake; the draft concerns requests accepted as the dispatch console on the dispatch-write path. It does not state the WebSocket or engineer-identity attack.
58,13-dispatch-control-plane,4,tampering,"An attacker who can supply the hourly pull with a document it accepts returns XML that plants work orders the partner never sent, if the control plane turns that document into orders unchecked.",T-02,Forged partner schedule data can be injected into live dispatch work orders,"An attacker who compromises the scheduling partner or can impersonate it to `process:schedule-importer` can supply a syntactically valid but malicious XML schedule response on `flow:process:schedule-importer>entity:scheduling-partner>pull-schedule-feed` if the flow's `authentication: unknown` means the importer does not reliably authenticate the partner. The importer parses the external XML, archives it, and forwards parsed work orders on `flow:process:schedule-importer>process:dispatch-api>post-work-orders`; it therefore launders injected partner content into trusted dispatch API writes. This is conditional on the unverified partner-identification control, not an assertion that HTTPS or partner authentication is absent. Second-order, `process:dispatch-api` writes the attacker-selected work orders into `store:dispatch-database`, changing the live crew and depot schedule.",same,"The partner-impersonation branch supplies forged XML that becomes live work orders through the importer, preserving the reference's attack. The draft additionally includes partner compromise."
59,13-dispatch-control-plane,10,information-disclosure,"An attacker on the corporate network reads the live job status stream, because nothing states the WebSocket runs over TLS.",I-02,Dispatch requests and live job status may be readable across the corporate-to-control-plane boundary,"`flow:process:dispatch-console>process:dispatch-api>dispatch-requests` and `flow:process:dispatch-console>process:dispatch-api>live-job-status` cross from `boundary:corporate-network` to `boundary:production-control-plane`, while `encryption_in_transit` is unknown for both. If either channel lacks effective TLS, a corporate-network observer or compromised intermediary can intercept dispatch actions such as moving crews or changing depot work, together with live job status shown to engineers. The disclosed operational state enables targeted follow-on abuse against the live dispatch API and its production-control-plane operations. This is conditional on verifying transport protection for both browser-to-API channels.",same,The draft explicitly includes interception of the live job-status channel if TLS is absent; its additional dispatch-request disclosure does not replace that finding.
60,13-dispatch-control-plane,11,information-disclosure,An attacker who obtains a copy of the dispatch database reads the crew names and mobile numbers in it.,I-05,A dispatch-database copy could disclose crew records if at-rest encryption is absent,"`store:dispatch-database` holds job orders, crew names, and crew mobile numbers, but its `encryption_at_rest` attribute is unknown. If that unknown resolves to storage without encryption, an attacker who obtains a database volume, snapshot, backup, or decommissioned storage copy can read the records directly without authenticating through `process:dispatch-api`. Second-order, one raw copy exposes the store's operational and crew data as a corpus, enabling targeting of personnel and reconnaissance of active dispatch work. This is conditional on verifying the at-rest protection; it does not assert that the database is currently unencrypted.",same,Both describe reading crew names and mobile numbers from a dispatch-database copy; the draft explicitly conditions readability on inadequate at-rest protection.
61,13-dispatch-control-plane,14,denial-of-service,An attacker holds open enough WebSockets to the dispatch API that duty engineers lose live job status.,D-01,Held-open WebSocket connections can starve the shared dispatch API,"An attacker with a foothold on `boundary:corporate-network` can repeatedly establish and retain connections on `flow:process:dispatch-console>process:dispatch-api>live-job-status`, which is explicitly a WebSocket held open for live status. If `process:dispatch-api` has finite connection, worker, or memory capacity and lacks effective per-client connection caps and idle timeouts, these low-cost held connections can exhaust that capacity. The WebSocket handshake authentication is `unknown`, so it is unverified whether an attacker needs a valid engineer session to do this. Second-order, the same `process:dispatch-api` also serves dispatch writes from `flow:process:dispatch-console>process:dispatch-api>dispatch-requests` and parsed work-order posts from `flow:process:schedule-importer>process:dispatch-api>post-work-orders`; starvation therefore prevents engineers from moving crews or changing depot work and prevents scheduled work from being imported.",same,Both describe held-open live-status WebSockets exhausting dispatch-API capacity. The draft adds effects on dispatch writes and imports while retaining the targeted status service.
